{'loss': '0.02821', 'grad_norm': '0.2486', 'learning_rate':'2.376e-05', 'epoch': '2.645'}
{'loss': '0.02188', 'grad_norm': '0.0631', 'learning_rate':'2.365e-05', 'epoch': '2.647'}
{'loss': '0.0236', 'grad_norm': '0.1358', 'learning_rate': '2.354e-05', 'epoch': '2.648'}
{'loss': '0.02183', 'grad_norm': '0.1128', 'learning_rate':'2.343e-05', 'epoch': '2.65'}
{'loss': '0.023', 'grad_norm': '0.2004', 'learning_rate': '2.331e-05', 'epoch': '2.652'}
{'loss': '0.02624', 'grad_norm': '0.2226', 'learning_rate':'2.32e-05', 'epoch': '2.653'}
{'loss': '0.03405', 'grad_norm': '0.1635', 'learning_rate':'2.309e-05', 'epoch': '2.655'}
{'loss': '0.03147', 'grad_norm': '0.1905', 'learning_rate':'2.298e-05', 'epoch': '2.657'}
{'loss': '0.02276', 'grad_norm': '0.0788', 'learning_rate':'2.287e-05', 'epoch': '2.658'}
{'loss': '0.02458', 'grad_norm': '0.2876', 'learning_rate':'2.276e-05', 'epoch': '2.66'}
{'loss': '0.02837', 'grad_norm': '0.1124', 'learning_rate':'2.265e-05', 'epoch': '2.662'}
{'loss': '0.02749', 'grad_norm': '0.2681', 'learning_rate':'2.254e-05', 'epoch': '2.663'}
{'loss': '0.03365', 'grad_norm': '0.3755', 'learning_rate':'2.242e-05', 'epoch': '2.665'}
{'loss': '0.02293', 'grad_norm': '0.1629', 'learning_rate':'2.231e-05', 'epoch': '2.667'}
{'loss': '0.02489', 'grad_norm': '0.2078', 'learning_rate':'2.22e-05', 'epoch': '2.668'}
{'loss': '0.01923', 'grad_norm': '0.1061', 'learning_rate':'2.209e-05', 'epoch': '2.67'}
{'loss': '0.02297', 'grad_norm': '0.07966', 'learning_rate': '2.198e-05', 'epoch': '2.672'}
{'loss': '0.02441', 'grad_norm': '0.09667', 'learning_rate': '2.187e-05', 'epoch': '2.673'}
{'loss': '0.02208', 'grad_norm': '0.06022', 'learning_rate': '2.176e-05', 'epoch': '2.675'}
{'loss': '0.02616', 'grad_norm': '0.1697', 'learning_rate':'2.165e-05', 'epoch': '2.677'}
{'loss': '0.02216', 'grad_norm': '0.1234', 'learning_rate':'2.154e-05', 'epoch': '2.678'}
{'loss': '0.02309', 'grad_norm': '0.1332', 'learning_rate':'2.142e-05', 'epoch': '2.68'}
{'loss': '0.02187', 'grad_norm': '0.2415', 'learning_rate':'2.131e-05', 'epoch': '2.682'}
{'loss': '0.02733', 'grad_norm': '0.1958', 'learning_rate':'2.12e-05', 'epoch': '2.683'}
{'loss': '0.02291', 'grad_norm': '0.1729', 'learning_rate':'2.109e-05', 'epoch': '2.685'}
{'loss': '0.02239', 'grad_norm': '0.218', 'learning_rate': '2.098e-05', 'epoch': '2.687'}
{'loss': '0.02995', 'grad_norm': '0.07291', 'learning_rate': '2.087e-05', 'epoch': '2.688'}
{'loss': '0.02199', 'grad_norm': '0.2279', 'learning_rate':'2.076e-05', 'epoch': '2.69'}
{'loss': '0.03693', 'grad_norm': '0.4915', 'learning_rate':'2.065e-05', 'epoch': '2.692'}
{'loss': '0.0228', 'grad_norm': '0.2656', 'learning_rate': '2.053e-05', 'epoch': '2.693'}
{'loss': '0.02234', 'grad_norm': '0.09657', 'learning_rate': '2.042e-05', 'epoch': '2.695'}
{'loss': '0.02327', 'grad_norm': '0.08107', 'learning_rate': '2.031e-05', 'epoch': '2.697'}
{'loss': '0.02717', 'grad_norm': '0.3228', 'learning_rate':'2.02e-05', 'epoch': '2.698'}
{'loss': '0.02576', 'grad_norm': '0.193', 'learning_rate': '2.009e-05', 'epoch': '2.7'}
{'loss': '0.02029', 'grad_norm': '0.2237', 'learning_rate':'1.998e-05', 'epoch': '2.702'}
{'loss': '0.01973', 'grad_norm': '0.07783', 'learning_rate': '1.987e-05', 'epoch': '2.703'}
{'loss': '0.02668', 'grad_norm': '0.1101', 'learning_rate':'1.976e-05', 'epoch': '2.705'}
{'loss': '0.02616', 'grad_norm': '0.2009', 'learning_rate':'1.964e-05', 'epoch': '2.707'}
{'loss': '0.02764', 'grad_norm': '0.1785', 'learning_rate':'1.953e-05', 'epoch': '2.708'}
{'loss': '0.01724', 'grad_norm': '0.08562', 'learning_rate': '1.942e-05', 'epoch': '2.71'}
{'loss': '0.02905', 'grad_norm': '0.06076', 'learning_rate': '1.931e-05', 'epoch': '2.712'}
{'loss': '0.02571', 'grad_norm': '0.2144', 'learning_rate':'1.92e-05', 'epoch': '2.713'}
{'loss': '0.02696', 'grad_norm': '0.08186', 'learning_rate': '1.909e-05', 'epoch': '2.715'}
{'loss': '0.01984', 'grad_norm': '0.07243', 'learning_rate': '1.898e-05', 'epoch': '2.717'}
{'loss': '0.02313', 'grad_norm': '0.09288', 'learning_rate': '1.887e-05', 'epoch': '2.718'}
{'loss': '0.02985', 'grad_norm': '0.2136', 'learning_rate':'1.875e-05', 'epoch': '2.72'}
{'loss': '0.02479', 'grad_norm': '0.1829', 'learning_rate':'1.864e-05', 'epoch': '2.722'}
{'loss': '0.0204', 'grad_norm': '0.1806', 'learning_rate': '1.853e-05', 'epoch': '2.723'}
{'loss': '0.01999', 'grad_norm': '0.1766', 'learning_rate':'1.842e-05', 'epoch': '2.725'}
{'loss': '0.02045', 'grad_norm': '0.06714', 'learning_rate': '1.831e-05', 'epoch': '2.727'}
{'loss': '0.02236', 'grad_norm': '0.2498', 'learning_rate':'1.82e-05', 'epoch': '2.728'}
{'loss': '0.02532', 'grad_norm': '0.09695', 'learning_rate': '1.809e-05', 'epoch': '2.73'}
{'loss': '0.02998', 'grad_norm': '0.1313', 'learning_rate':'1.798e-05', 'epoch': '2.732'}
{'loss': '0.02439', 'grad_norm': '0.1481', 'learning_rate':'1.786e-05', 'epoch': '2.733'}
{'loss': '0.02171', 'grad_norm': '0.2215', 'learning_rate':'1.775e-05', 'epoch': '2.735'}
{'loss': '0.02259', 'grad_norm': '0.1712', 'learning_rate':'1.764e-05', 'epoch': '2.737'}
{'loss': '0.02388', 'grad_norm': '0.07724', 'learning_rate': '1.753e-05', 'epoch': '2.738'}
{'loss': '0.01804', 'grad_norm': '0.07216', 'learning_rate': '1.742e-05', 'epoch': '2.74'}
{'loss': '0.02267', 'grad_norm': '0.1675', 'learning_rate':'1.731e-05', 'epoch': '2.742'}
{'loss': '0.0231', 'grad_norm': '0.1023', 'learning_rate': '1.72e-05', 'epoch': '2.743'}
{'loss': '0.02535', 'grad_norm': '0.1493', 'learning_rate':'1.709e-05', 'epoch': '2.745'}
{'loss': '0.02337', 'grad_norm': '0.1841', 'learning_rate':'1.697e-05', 'epoch': '2.747'}
{'loss': '0.02334', 'grad_norm': '0.1698', 'learning_rate':'1.686e-05', 'epoch': '2.748'}
{'loss': '0.0215', 'grad_norm': '0.09869', 'learning_rate':'1.675e-05', 'epoch': '2.75'}
{'loss': '0.02001', 'grad_norm': '0.21', 'learning_rate': '1.664e-05', 'epoch': '2.752'}
{'loss': '0.02539', 'grad_norm': '0.1374', 'learning_rate':'1.653e-05', 'epoch': '2.753'}
{'loss': '0.02256', 'grad_norm': '0.1002', 'learning_rate':'1.642e-05', 'epoch': '2.755'}
{'loss': '0.02526', 'grad_norm': '0.2302', 'learning_rate':'1.631e-05', 'epoch': '2.757'}
{'loss': '0.01987', 'grad_norm': '0.2366', 'learning_rate':'1.62e-05', 'epoch': '2.758'}
{'loss': '0.0273', 'grad_norm': '0.1884', 'learning_rate': '1.608e-05', 'epoch': '2.76'}
{'loss': '0.0198', 'grad_norm': '0.1118', 'learning_rate': '1.597e-05', 'epoch': '2.762'}
{'loss': '0.02098', 'grad_norm': '0.07071', 'learning_rate': '1.586e-05', 'epoch': '2.763'}
{'loss': '0.02221', 'grad_norm': '0.07667', 'learning_rate': '1.575e-05', 'epoch': '2.765'}
{'loss': '0.01932', 'grad_norm': '0.04977', 'learning_rate': '1.564e-05', 'epoch': '2.767'}
{'loss': '0.02535', 'grad_norm': '0.3062', 'learning_rate':'1.553e-05', 'epoch': '2.768'}
{'loss': '0.02486', 'grad_norm': '0.2013', 'learning_rate':'1.542e-05', 'epoch': '2.77'}
{'loss': '0.02679', 'grad_norm': '0.2014', 'learning_rate':'1.531e-05', 'epoch': '2.772'}
{'loss': '0.02056', 'grad_norm': '0.1154', 'learning_rate':'1.519e-05', 'epoch': '2.773'}
{'loss': '0.02406', 'grad_norm': '0.2196', 'learning_rate':'1.508e-05', 'epoch': '2.775'}
{'loss': '0.0205', 'grad_norm': '0.1877', 'learning_rate': '1.497e-05', 'epoch': '2.777'}
{'loss': '0.02362', 'grad_norm': '0.2034', 'learning_rate':'1.486e-05', 'epoch': '2.778'}
